	уже есть ПА	был тур по США	был тур по Европе	издается в США	включает саундтреки	исполнитель из США	рок-группа	Итог
1	1	1	1	1	0	1	1	1
2	1	1	1	0	1	0	0	1
3	1	1	1	0	0	1	1	1
4	1	1	0	1	1	0	0	0
5	1	1	0	1	0	1	1	0
6	1	1	0	0	1	1	1	1
7	1	0	1	1	1	1	0	0
8	1	0	1	1	0	1	1	0
9	1	0	1	0	1	0	1	0
10	1	0	1	0	0	1	0	1
11	1	0	0	1	0	1	1	0
12	1	0	0	0	1	1	1	1
13	0	1	1	1	1	1	1	1
14	0	1	1	1	0	1	1	0
15	0	1	1	1	0	0	0	0
16	0	1	1	0	1	1	0	1
17	0	1	0	1	1	1	1	1
18	0	1	0	1	0	1	1	0
19	0	0	1	1	1	0	0	0
20	0	0	1	1	0	1	1	1
21	0	0	1	0	1	0	0	1
22	0	0	1	0	0	1	0	1
23	0	0	0	1	1	1	0	0
